Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:11.011,51,0.17235579,0.14193822,0.10852603,0.05505107,0.06770699,0.40062127,0.00398556,0.09031007,0.13350481,0.01880613,0.19779697,0.07850154,0.38963813,0.00509608,0.00013534,0.00005302,0.00259753,0.01162286,0.00088042,0.00029914,0.00438018,0.00002941,0.00692189,0.00026452,0.00014549,0.00146537,0.00193886,0.00925157,0.00232216,0.00103317,0.00164253,0.03488391,0.03835301,0.00479089,0.00162513,0.03595507,0.02871046,0.00240518,0.00270741,0.00001970,0.00001733,0.00000080,0.39099959,0.00101579,0.00111283,0.00304395,0.00002389,0.00000010,0.00000025,0.00000040,0.00000080,0,0.012666978294216504,-0.017855698737954884,0.04578698755480231,0.4031268060207367,0.438735693693161,0,0.4031268060207367,0.438735693693161,0
00:00:00:12.012,51,0.14945297,0.12917534,0.08486198,0.06557420,0.07011772,0.37256494,0.00469737,0.07117402,0.12189460,0.02105293,0.17999876,0.08212967,0.33371669,0.00644463,0.00012334,0.00005539,0.00261894,0.01219019,0.00077852,0.00032776,0.00558325,0.00003776,0.00548954,0.00018234,0.00009559,0.00197394,0.00262822,0.00860628,0.00186856,0.00094647,0.00140448,0.04337820,0.03698408,0.00654854,0.00250556,0.03300498,0.02368273,0.00250706,0.00299456,0.00002568,0.00002336,0.00000095,0.34549990,0.00172425,0.00164883,0.00347571,0.00002438,0.00000012,0.00000028,0.00000048,0.00000095,0,0.0114694394909422,-0.013122425159605941,0.04227926846122099,0.40303683280944824,0.43834277987480164,0,0.40303683280944824,0.43834277987480164,0
00:00:00:13.013,51,0.14884998,0.13760519,0.09825352,0.06346895,0.06645279,0.36942500,0.00492964,0.07288873,0.13051417,0.01631212,0.22352090,0.07387133,0.32449654,0.00624970,0.00017728,0.00004829,0.00267814,0.01174548,0.00081462,0.00036900,0.00369855,0.00003253,0.00662683,0.00039107,0.00024136,0.00102578,0.00132319,0.00981270,0.00332366,0.00097201,0.00156514,0.02951693,0.03518607,0.00324935,0.00159740,0.03742208,0.03589190,0.00353256,0.00375308,0.00002460,0.00002317,0.00000091,0.37952581,0.00126474,0.00134664,0.00289927,0.00002868,0.00000010,0.00000026,0.00000043,0.00000091,0,0.025745890640819422,-0.012928572703571997,0.04461886917767002,0.40288490056991577,0.437885582447052,0,0.40288490056991577,0.437885582447052,0
00:00:00:14.014,51,0.13934103,0.13138431,0.09425827,0.06146713,0.06800500,0.36504915,0.00513386,0.06938892,0.12481852,0.01763668,0.20366389,0.08017492,0.31943163,0.00707805,0.00013041,0.00005160,0.00362636,0.01326243,0.00084049,0.00045804,0.01109049,0.00003837,0.00634853,0.00010677,0.00005423,0.00156404,0.00200446,0.00656656,0.00185267,0.00074609,0.00098189,0.04254978,0.03476588,0.00514724,0.00225567,0.02436657,0.02005822,0.00349144,0.00387434,0.00002247,0.00001930,0.00000090,0.34181568,0.00163093,0.00152877,0.00385941,0.00002501,0.00000013,0.00000027,0.00000052,0.00000090,0,0.005475495807108252,-0.011691288831202722,0.04141158922036187,0.40290290117263794,0.4380623698234558,0,0.40290290117263794,0.4380623698234558,0
00:00:00:15.015,51,0.12947825,0.14037839,0.09927996,0.05606913,0.06689846,0.36970505,0.00566680,0.05685739,0.13319896,0.02205877,0.16967507,0.07758477,0.29035878,0.00851209,0.00013360,0.00003642,0.00402702,0.01141030,0.00074439,0.00034145,0.00569820,0.00003628,0.00574344,0.00020675,0.00011026,0.00185528,0.00224678,0.00633655,0.00223931,0.00112274,0.00121667,0.03414227,0.03150843,0.00514990,0.00225769,0.02872106,0.02559858,0.00294745,0.00311432,0.00002250,0.00002113,0.00000089,0.32207182,0.00199710,0.00151901,0.00392145,0.00002428,0.00000011,0.00000026,0.00000049,0.00000089,0,0.010627357089832028,-0.012625715394926823,0.04279263463023807,0.4025874733924866,0.43852347135543823,0,0.4025874733924866,0.43852347135543823,0
00:00:00:16.016,51,0.12732758,0.14981931,0.09378931,0.05491313,0.06390060,0.36455688,0.00565284,0.05492678,0.14129454,0.02939083,0.13205367,0.07487175,0.29365063,0.00897381,0.00013609,0.00005265,0.00285387,0.01232334,0.00080403,0.00036216,0.00495429,0.00005958,0.00410005,0.00024125,0.00012913,0.00102919,0.00142533,0.01025444,0.00266536,0.00078358,0.00132767,0.03761344,0.03990014,0.00467956,0.00204390,0.03934735,0.02791104,0.00275508,0.00321707,0.00002237,0.00001919,0.00000085,0.33513850,0.00159813,0.00153010,0.00373815,0.00002479,0.00000010,0.00000029,0.00000048,0.00000085,0,0.013679057589379612,-0.017790709098979486,0.04537574110851593,0.4028521478176117,0.43866264820098877,0,0.4028521478176117,0.43866264820098877,0
00:00:00:17.017,51,0.12411178,0.13800284,0.13566722,0.04365756,0.06510553,0.35020736,0.00569858,0.07316124,0.13231924,0.01488884,0.21613260,0.07267664,0.30829492,0.00638928,0.00013474,0.00004125,0.00271963,0.00990419,0.00062343,0.00033131,0.00375507,0.00003971,0.00504365,0.00032305,0.00018776,0.00189449,0.00275539,0.01006644,0.00182934,0.00106401,0.00234577,0.03083408,0.02980466,0.00499586,0.00244262,0.04135987,0.02893556,0.00253295,0.00306757,0.00003078,0.00002693,0.00000109,0.31283605,0.00203611,0.00200927,0.00441363,0.00002434,0.00000011,0.00000031,0.00000061,0.00000109,0,0.01271494623918831,-0.010053778361758707,0.04064435237330176,0.4021480083465576,0.4389488995075226,0,0.4021480083465576,0.4389488995075226,0
00:00:00:18.018,51,0.13478753,0.27109900,0.08183607,0.05839033,0.03396178,0.37806442,0.00560178,0.05640801,0.25604099,0.03729707,0.10819735,0.03603454,0.26566347,0.00830779,0.00017681,0.00003845,0.00291360,0.01195576,0.00088581,0.00036097,0.00306655,0.00004035,0.00527530,0.00048202,0.00028466,0.00124634,0.00135496,0.00606867,0.00357901,0.00163222,0.00127644,0.02313019,0.03457632,0.00272830,0.00165398,0.03770807,0.03665648,0.00302867,0.00311641,0.00002428,0.00002567,0.00000079,0.40652767,0.00079137,0.00109477,0.00274103,0.00002647,0.00000007,0.00000024,0.00000039,0.00000079,0,0.019227018106393018,-0.020974252604025457,0.04865160367464471,0.40389472246170044,0.4431881904602051,0,0.40389472246170044,0.4431881904602051,0
00:00:00:19.019,51,0.77390093,0.82715237,0.16452675,0.03560932,0.00242223,0.47420973,0.00037246,0.66607565,0.75850332,0.19025642,0.02059240,0.00399353,0.60743272,0.00014712,0.00020314,0.00005958,0.00358053,0.01670387,0.00140752,0.00036544,0.00390100,0.00011450,0.00364370,0.00059330,0.00039717,0.00049018,0.00048416,0.01076129,0.01019827,0.00089328,0.00133277,0.02931790,0.05931200,0.00252770,0.00124840,0.03714687,0.03533929,0.00347734,0.00471364,0.00005957,0.00005935,0.00000035,0.36396796,0.00577727,0.00097114,0.00154042,0.00002512,0.00000006,0.00000025,0.00000076,0.00000035,0,0.05391592991128594,-0.028892028837654557,0.04764755865058793,0.41445302963256836,0.45804494619369507,0,0.41445302963256836,0.45804494619369507,0
00:00:00:20.020,51,0.77726209,0.80312872,0.11756258,0.05185534,0.00273481,0.43517566,0.00034953,0.63018763,0.80030787,0.13039014,0.03021615,0.00289774,0.47227463,0.00019057,0.00022897,0.00003896,0.00384109,0.01267104,0.00122426,0.00033024,0.00303777,0.00005735,0.00611649,0.00106828,0.00063776,0.00050129,0.00052514,0.01571880,0.00753360,0.00126855,0.00179632,0.02161998,0.04089890,0.00221564,0.00102447,0.04722307,0.03071898,0.00262979,0.00417356,0.00005553,0.00005027,0.00000042,0.29289976,0.00776028,0.00157772,0.00268598,0.00002335,0.00000005,0.00000032,0.00000084,0.00000042,0,0.04847065325131987,-0.03135637564692114,0.050399214387396925,0.41152334213256836,0.45969364047050476,0,0.41152334213256836,0.45969364047050476,0
00:00:00:21.021,51,0.76455456,0.80944133,0.17990297,0.03099245,0.00300312,0.53035873,0.00040843,0.67380702,0.75300813,0.17448938,0.02544640,0.00400080,0.62182117,0.00013791,0.00018688,0.00004436,0.00396129,0.01382273,0.00127085,0.00026381,0.00273219,0.00006302,0.00621769,0.00077260,0.00051167,0.00048889,0.00047875,0.01411589,0.01200946,0.00099933,0.00133189,0.03174187,0.06319090,0.00335408,0.00102367,0.04413827,0.04327524,0.00252954,0.00327597,0.00004308,0.00004404,0.00000033,0.38643685,0.00638749,0.00090401,0.00133212,0.00002403,0.00000005,0.00000025,0.00000062,0.00000033,0,0.04620213245950067,-0.02547384801632787,0.0442156421449611,0.4138886332511902,0.45743611454963684,0,0.4138886332511902,0.45743611454963684,0
00:00:00:22.022,51,0.57941222,0.61695582,0.08881175,0.07045338,0.00917302,0.51752830,0.00076750,0.44427785,0.62293440,0.08908038,0.04219611,0.01071623,0.54440761,0.00040441,0.00016395,0.00005085,0.00403677,0.02143077,0.00189602,0.00030371,0.00472648,0.00003231,0.00741940,0.00023957,0.00015465,0.00039519,0.00046641,0.01083511,0.00534993,0.00058409,0.00135183,0.02741795,0.08907206,0.00157728,0.00052968,0.02354680,0.02414765,0.00289391,0.00388314,0.00001853,0.00001684,0.00000031,0.40795293,0.00209326,0.00076072,0.00124548,0.00002027,0.00000003,0.00000021,0.00000037,0.00000031,0,0.036723803760714456,-0.0221560073744806,0.04497420335372861,0.41177695989608765,0.4503946006298065,0,0.41177695989608765,0.4503946006298065,0
00:00:00:23.023,51,0.24656822,0.22600418,0.10285724,0.05775355,0.04302001,0.42184386,0.00315444,0.14519082,0.22302203,0.02131903,0.18233536,0.04394008,0.34490258,0.00266674,0.00019859,0.00003789,0.00256875,0.01057081,0.00067592,0.00033819,0.00262397,0.00002813,0.00648492,0.00048804,0.00032336,0.00123771,0.00152027,0.00832048,0.00322065,0.00113108,0.00213176,0.02020343,0.03329481,0.00220534,0.00134140,0.03507587,0.03429576,0.00336949,0.00409935,0.00002782,0.00002997,0.00000086,0.31514272,0.00221701,0.00159109,0.00329014,0.00002598,0.00000007,0.00000022,0.00000051,0.00000086,0,0.027880804264080867,-0.013585868069555307,0.04405227757073996,0.4033089578151703,0.44404473900794983,0,0.4033089578151703,0.44404473900794983,0
00:00:00:24.024,51,0.19301227,0.17405017,0.08093569,0.06537168,0.05535618,0.36937445,0.00375924,0.09589486,0.16678542,0.03098126,0.13362016,0.06271185,0.37862277,0.00473317,0.00019865,0.00004238,0.00251796,0.01137869,0.00076689,0.00037606,0.00331787,0.00003197,0.00584747,0.00044623,0.00026340,0.00131071,0.00180413,0.00954639,0.00219726,0.00118168,0.00239606,0.02133751,0.03260414,0.00224202,0.00148582,0.03685553,0.02723630,0.00332180,0.00414751,0.00002914,0.00002636,0.00000094,0.35016155,0.00184350,0.00133355,0.00298634,0.00002566,0.00000008,0.00000025,0.00000052,0.00000094,0,0.023038886513556428,-0.01754768060674526,0.04589312464317846,0.40330857038497925,0.44047653675079346,0,0.40330857038497925,0.44047653675079346,0
